Comments
4 senedir vazgeçemediğim tek adres.
Önceden hatırlarım waffleınız daha büyüktü insanların aklı fikri para olmuş malzemeden kısmalar falanlar filanlar ne diyeceğimi bilmiyorum eskisi gibi değil.
Bildiğiniz ege waffle işte mekanda beyse pakettede o tesekkürler.
İyi.
Mükemmeldi.
İçinde seçtiğim çoğu şey yoktu ne seçtiğim çikolata nede seçtiğim meyve resmen sadece çilek doğrayıp göndermişsiniz ananas yerine armut konulmuş.
Tek kelime ile harika.
Herseyıyle mukemmedi. Cok tesekkurler.
Çok iyiydi.
Herşey mükemmeldi ellerinize sağlık :).
Waffle da lezzetin tek adresi :) kurye de çok nazik.
Bir kere denedim artık vazgeçemiyorum :) bu waffle bağımlılık yapıyor.
Devamlo sizden sipars veriyorz ama bu sefer istediigimz tadi alamadik alt tabana surdugunz cikolata berbat bi tatti hic memnun kalmadl servis harika ama tat malesef çikolatayı değiştirin çikolata dışında mükemmel.
Fiyata göre performans gayet iyiydi ve sade dondurma çok çok iyi thanks.
"Her zamanki gibi çok güzel ama keşke arada joker indirimi yapsanız, öğrenciyiz ya."
"Meyveler oldukça bol ve güzeldi. Çikolatalardan frambuaz sevmedik ama zevk meselesi. Şekerlemeler biraz daha fazla olabilir ve waffle hamuru biraz yumuşaktı ben daha kıtır severim fakat mükemmel işletme not okuyorlar, nazikler."
Pudra şekerini sadece koklatmış olsalar bile mükemmeldi. Ellerine sağlık.
Alt tabakayı bıçak kesmiyor kiviler çok kötüydü bu kadar yüksek puanlı bir wafflecıya yakışmadı.
Aydının en iyisi.
Tam 16 dk içinde geldi ve çok lezzetliydi tereddüt etmeden sipariş verebilirsiniz.
Hatika.
Maraş dondurma harika.
Çok güzeldi elinize sağlık porsiyon biraz daha büyük olabilir diye düsündüm ama cikolataların tadı meyvelerin tazeligi derken cok da umursanmadı.
Kiraz sekerlemesi acıydı onun haricinde her şey güzel elinize sağlık yalnız diğer işletmelere göre boyut küçüktü.
İnanılmaz hızlı 13dk da geldi. Taze ve lezzetliydi tek eksik kartona direkt koymak yerine wafflein altina bir şey koyulması iyi olur.
"Kaçınılmamış malzeme, mükemmel lezzet."
Portakallar çürümüştü resmen cok kötüydü onun dışında begendim.
Yorum yok alkış var.
Harika.
Cok guzeldi.
Mükemmelsinizzz.
Başkar yerler yapamıyor agalar.
Her zamanki gibi mükemmel.
Çok güzeldi hemen geldi.
Çok iyi.
Gayet güzeldi.
Hersey cok guzeldi elinize saglik tesekkur ederim.
Üzerindeki hiçbir malzeme dağılmadan geliyor titizlikleriyle ve hızlarıyla puanladım.
Mükemmel bir lezzet. Çok hızlı geldi. Her şey istediğim gibiydi. O kadar güzel ki hemen hemen her gün yiyorum yapanın ellerine sağlık. Kurye de çok iyi ve eğlenceliydi. Böylesine güzellikleri bir arada topladığınız için teşekkür ederiz ege waffle.
Cok taze meyveler.
Çok iyi kıyaslama bile yapmaya gerek yok.
Lezzet tek kelimeyle muazzam ayrıca kurye de çok güler yüzlü ve kibar biri.
Gayet leziz ve hizli.
Hep aynı kalite aynı lezzet teprikler.
Biraz pahalı.
Çok lezzetliydi waffle lar ancak porsiyon boyutu cidden ufaktı.
Tavsiye ediyorum.
Başarılı.
Mükemmel ellerinize sağlık.
Süper aydında tek!
Çok iyi.
Muazzam lezzet...
Ellerinize sağlık mükemmeldi bi dahakine ucuz olan maldan fazla koymayın ama.
Gayet guzel bir yer.
Çok iyiydi.
Güzel.
Hayatimdaki en hızlı gelen siparişim oldu teşekkürler.
God.
Söylenecek bir şey yok. Aydının en iyisi...
Her şey çok güzeldi ellerinize sağlık sürücünüz de çok kibardı tekrardan ellerinize sağlık :).
Çok güzeldi uzak olmasına rağmen hızlı geldi ellerinize sağlık teşekkür ederiz :)).
Enfes lezzet herşey için teşekkürler.
Güzel.
Güzeldi güzel.
Porsiyonları çok küçük.
Ellerine sağlık.
Harikaydı ikinci deneme aynı lezzey.. Bayada hızlılar aman 5 dk geç gelsin dikkat lütfen.
Elinize sağlık. D.
Hamur çok pişmiş ve sertti onun dışında iyiydi.
Servisi çok hızlı. Aydında waffle yapan en iyi yer diyebilirim.
Her sipariş verdiğimde memnun kaldığım işletme.
Denenmesi gereken bir lezzet.
Herzamanki gibi lezizdi elinize emeğinize sağlık.
Cok kotuydu siparis ettigime pisma oldum sadece meyveleri cok koymuslar ustune istedigimiz soslari asiri az koymuslar s adece meyve yiyomus gibiydik ve hamurlari cok pismis yanmaya yuz tutmustu incir sekerlemesi istedik ustune 1 inciri yarisini koymuslar bidaha burdan siparis vermem.
Puanlara bakarak sipariş verdim gerçekten hak ediyorsunuz muhteşemdi.
Çok iyi.
Lezzetsiz ve pahalı.
Lezzetliydi.
Beyenmedim.
Teşekkür ederim.
Aşırı hızlı geldi. Gerçekten ellerinize sağlık 10. 10. 10 hak ediyor sonuna kadar.
Hızlı ve lezzetli ama biraz pahalı.
Waffle hamurunuz müthişşşş teşekkürler.
Kiviyi tadımlık koymussunuz tam 2 dilim.
Gayet güzel.
Herşey mükemmel paketleme servis güler yüz 10 numarayı hak etti benden.
Her yönüyle gayet güzel.
Bu fiyata çok daha iyisi olabilirdi. Porsiyonlar çok küçük.
"Aşırı güzeeell, aydının en güzel waffle cısı."
Bu sefer cok kotu geldi yanik waffle gondermissiniz ve 1 musteri kaybettiniz..
Muhteşemdi.
Eh işte.
Ellerinize sağlık.
Aydının en hızlısı en iyisi.
Tek kelimeyle mükemmel..
Meyveler dolu dolu ve tazeydi. Tümüyle çok lezzetliydi. Uzun zamandır yediğim en iyi waffle idi.
Kalitesi tartışmaya açık olmayan ender mekanlardan birisi elinize emeğinize sağlık.
Enfes bol muzz.
Waffle incelmismi ne.
Mukkemmeldi.
Çok lezzetliydi.
Teksiniz tek.
Mimar sinana şube açmanıza çok sevindim sanki kendim açıyorum xd.
Tesekkur.
"Aydın ve ege bölgesinin en temiz, en lezzetli, en hijyenik ve işin hakkını veren işletmesi, bu işin hakkını vererek yapan ender işletmelerden birisiniz allah işinizi rast getirsin..."
Getiren arkadaştan allah razı olsun. Emeğinize sağlık. Çok güzeldi. Çok teşekkür ederiz. Sağlıklı günleriniz olsun. Allaha emanet olun..
Her zaman olduğu gibi güzeldi.
Hızlı servis lezzetli.
Guzel.
Efsane.
Sıcak gelebilirdi.
Mükemmel.
Şekerlemenin tadı çok güzel değildi onun dışında net bi sıkıntısı yok.
Ellerinize sağlık çok güzel lezzetli. Servis mükemmel.
Porsiyonu küçülmüşşş.
Herzaman ki gibi harikaydı.
Mimar sinan a da bir şube artık lütfen.
11 dakikada geldi çok lezzetliydi malzemesi de çok boldu.
"Her zaman sipariş ettiğim yer, çok lezzetli."
Çok iyi servis ve taze meyveler.
Her şey mükemmel elinize sağlık.
Wafflemin hamurunun içi iyi pişmemiş birde portakal istemediğim halde yerken tadında portakal aroması vardi.
Nays.
Herşey harika tek sorun mimarsina bi tane getirmemeniz her seferinde 25 waffle 25 içecek söylmek zorunda kalıyorum acil buna bir çözüm bulmalısınız.
Vişneli şekerlemeler bozuktu ve ayıp olmasın diye birer parça kestane şekeri bırer dilim kivi koymuşlar.
Dün iyiydi bugün güzeldi eminim yarın harika olacak.
Güzeldi. Ellerinize sağlık.
"Waffle hamurunun içi çiğ kalmış, yumurta kokusu hl üzerindeydi. Eskiden çıtır ve güzel olurdu. Meyvesi boldu güzeldi. Hız ve servis iyiydi."
Hafif yanık tadı vardı. Üzerindeki fındıktan da olabilir.
12 dk da geldi ve dikkat edin bağımlılık yapıyor.
Küçük olması dışında bi sorun yok:)).
Her yediğimde damağımda tadı kalıyor bayılıyorum burayı.
Waffle çok çabuk soğuyan bir tatlıdır buna rağmen sıcacık ve notuma uygun şekilde geldi. Kuryenizin de güler yüzlülüğü eklenince ımm tadından yenmez oldu ellerinize sağlık.
Meyveler sanki fazla yumşaktı özellikle çilekler bi koku vardı onun haricinde iyi.
Gerçekten mükemmelmiş gelen kurye abininde güler yüzlülüğü bu işi yapıyorsunuz reis...
Güzelsiniz güzellll.
Malzemeler az.
"Doğayı korumak adına plastik çatal, bıçak istemiyorumu işaretlediğim halde fark etmemişsiniz sanırım. Plastik kullanımını azaltmak adına kullanmamanızı tavsiye ederim. Lezzeti, servisi ve hızıyla harika. Teşekkürler, iyi çalışmalar. :))."
Tadi oncekilere gore iyi degildi.
İnanılmaz bol koyuyorlar.
Ya bu farklı bişey hem ekşi hem tatlı ama çok lezzetli tesekkürler.
Hamurunun içi çiğ ama dışı yanmış.. Meyveleri çakıl taşı kalitesiz tat beğenmedik.
Süper...
Çilekleri fazla olsun çocuk yiyecek dedim bir kilodan fazla koymussuz ilginize teşekkür ederiz.
Hamuru iyi pissin notu düştük fakat makinelerde sorun var sanırım düzeltilebilir birşey puan kırmaya değmez güzeldi 10 10 10 :).
